nro_socio;fecha_alta;localidad;tarifa ;consumo_prom_kwh;variacion_consumo_%;antiguedad_meses;cant_reclamos;cortes_ultimo_anio;horas_sin_servicio;facturas_emitidas;facturas_vencidas;medidor_inteligente;adhesion_debito;edad_titular;canal_contacto;codigo_postal;estado
100974;28/05/2015;Trenel;Residencial;-99;5,6;131;0;3;2,5 hs;12;2;No;No;68;Teléfono;s/d;Activo
101134;17/12/2022;Trenel;RESIDENCIAL ;241;10,2;39;0;4;13,3 hs;12;0;No;Sí;72;Web;N/D;Activo
100765;2018-04-12;GENERAL PICO ;rural;522;-21,6;96;1;3;9,0 hs;12;1;No;Sí;30;App;6300;Activo
100466;2009-12-25;Trenel;Residencial;145;-18,7;197;1;1;2,9 hs;12;1;No;No;85;Web;-;Activo
100552;;Eduardo Castex;Comercial;126;61,8;292;2;3;4,8 hs;12;3;Sí;No;60;Teléfono;-;Activo
100840;1998-09-24;SANTA ROSA;RURAL;225;30,7;334;0;2;7,9 hs;12;2;No;No;33;Teléfono;N/D;Activo
100712;01/02/2020;Realicó;Comercial;493;-18,1;74;2;2;10,5 hs;12;1;No;No;46;Web;N/D;Activo
100515;23/12/1998;Intendente Alvear;Residencial;176;-12,9;331;1;3;6,6 hs;12;1;No;No;86;Web;;Activo
100588;19/06/2005;Santa Rosa;Residencial;113;-6,4;252;s/d;4;13,1 hs;12;2;N/D;Sí;26;App;-;Activo
101155;2005-04-20;Santa Rosa;RESIDENCIAL ;612;N/D;254;s/d;7;4,7 hs;12;2;No;Sí;52;App;;Activo
100652;2008-11-30;Santa Rosa;Rural;351;27,7;210;0;5;13,2 hs;12;0;;Sí;68;Teléfono;6300;Activo
100173;2008-10-01;Realicó;Residencial;325;-33,3;212;0;0;0,0 hs;12;0;No;No;49;Oficina;;Activo
100625;06/05/2002;Realicó;Residencial;186;-6,3;290;0;4;18,9 hs;12;0;No;No;43;Web;6300;Activo
100100;2001-12-07;Trenel;Residencial;340;8,9;295;1;5;7,3 hs;12;0;;Sí;31;Teléfono;6200;Activo
100654;27/04/1998;General Pico;Rural;386;-3,7;339;0;2;3,1 hs;12;1;No;No;50;Teléfono;6380;Activo
100092;10/04/2007;Realicó;Residencial;208;13,5;230;0;1;5,5 hs;12;3;No;No;45;App;s/d;Activo
100025;25/05/2004;General Pico;RESIDENCIAL ;122;-12,1;265;1;1;2,6 hs;12;1;No;No;65;Oficina;6380;Activo
100427;2025-03-06;Eduardo Castex;Residencial;90;-0,9;12;0;2;5,5 hs;12;2;s/d;No;20;Oficina;N/D;Activo
100683;2013-02-07;Intendente Alvear;Residencial;294;4,9;159;1;2;2,1 hs;12;0;No;Sí;50;Teléfono;6300;Activo
100096;;Realicó;Residencial;411;33,9;169;0;2;8,5 hs;12;0;N/D;No;32;App;N/D;Activo
100026;25/11/2009;Realicó;residencial;223;48,9;198;N/D;2;10,1 hs;12;0;Sí;Sí;48;Web;N/D;Activo
100372;01/08/2014;Eduardo Castex;Comercial;294;2,9;141;2;3;4,6 hs;12;4;No;No;29;Oficina;;Baja
100826;2018-06-11;Realicó;Residencial;-;-22,6;94;1;4;3,6 hs;12;1;;Sí;65;Web;s/d;Activo
100062;2021-02-25;Realicó;Resid.;388;-33;61;N/D;2;7,1 hs;12;0;N/D;Sí;19;Web;s/d;Baja
100769;2011-10-16;Eduardo Castex;Comercial;193;-18,7;175;0;1;0,8 hs;12;1;-;No;74;Oficina;s/d;Activo
100746;16/04/2000;Trenel;Residencial;168;;315;0;2;5,3 hs;12;0;N/D;No;89;Oficina;;Activo
100583;2006-06-14;Eduardo Castex;rural;157;-14,8;240;-;2;1,7 hs;12;0;N/D;No;59;Teléfono;s/d;Activo
100653;14/03/2012;Eduardo Castex;Comercial;283;-2,3;170;1;1;2,9 hs;12;1;Sí;No;48;Teléfono;-;Activo
100068;2007-01-10;Realicó;Comercial;297;;233;0;3;15,3 hs;12;2;Sí;No;63;Web;;Activo
100809;2009-10-26;Santa Rosa;Residencial;571;6,5;199;1;1;2,8 hs;12;1;No;No;63;Teléfono;6360;Activo
100555;28/04/2015;General Pico;Residencial;254;21,4;132;1;2;4,4 hs;12;0;No;Sí;72;App;N/D;Activo
101164;1999-01-22;Intendente Alvear;Residencial;197;22;330;1;4;13,6 hs;12;0;Sí;Sí;999;Oficina;s/d;Activo
100994;2006-06-14;Realicó;Residencial;722;1,1;240;0;4;10,1 hs;12;0;s/d;No;49;Web;s/d;Activo
101170;2022-09-18;General Pico;Residencial;160;13,5;42;1;3;5,1 hs;12;2;;No;56;Web;s/d;Activo
100767;14/01/2012;Sta. Rosa;RESIDENCIAL ;284;-5,1;172;1;0;0,0 hs;12;2;s/d;Sí;61;Oficina;6385;Activo
100584;26/05/2021;Realicó;Rural;193;15,9;58;0;1;2,2 hs;12;1;No;Sí;82;Teléfono;;Activo
100394;21/11/2004;GENERAL PICO ;Residencial;;2,5;259;0;3;13,0 hs;12;5;;No;56;App;;Baja
100791;2020-02-01;Intendente Alvear;Comercial;288;21;74;1;1;4,5 hs;12;0;Sí;Sí;51;Teléfono;N/D;Activo
100030;2023-10-13;GENERAL PICO ;residencial;121;42,6;29;1;5;9,8 hs;12;1;No;No;31;Web;;Baja
100841;2003-04-01;Intendente Alvear;Resid.;288;39,7;279;0;0;0,0 hs;12;2;N/D;No;42;Oficina;-;Activo
100132;2023-10-13;General Pico;Comercial;-99;-34,9;29;0;3;6,0 hs;12;0;N/D;No;55;Web;6380;Baja
100496;2015-09-25;Intendente Alvear;Comercial;243;17,5;127;1;1;1,0 hs;12;1;Sí;Sí;39;Web;6300;Activo
100396;2006-06-14;Trenel;Rural;123;-17,2;240;0;4;20,5 hs;12;0;Sí;Sí;65;Oficina;-;Activo
100737;2006-12-11;Realicó;RURAL;529;0,2;234;0;2;1,3 hs;12;2;No;No;40;Oficina;s/d;Baja
100338;2004-07-24;Sta. Rosa;residencial;153;3,7;263;0;2;4,9 hs;12;1;No;No;55;App;;Activo
100472;2018-05-12;Intendente Alvear;RURAL;228;11,8;95;1;2;2,7 hs;12;1;N/D;Sí;66;Web;6385;Activo
100348;2011-08-17;General Pico;Residencial;176;-25,9;177;1;1;0,6 hs;12;2;;Sí;53;Web;-;Activo
101101;2018-06-11;Realicó;Comercial;248;9,8;94;0;1;4,3 hs;12;0;No;No;49;Web;6300;Baja
100232;18/12/2016;SANTA ROSA;Residencial;155;-29,2;112;s/d;0;0,0 hs;12;1;Sí;No;32;Oficina;s/d;Activo
101112;2014-12-29;Realicó;Comercial;207;-4,2;136;0;2;2,4 hs;12;1;No;No;45;App;s/d;Activo
100426;;Realicó;Rural;267;10,1;238;0;3;17,2 hs;12;2;;Sí;29;Oficina;-;Activo
100773;2016-06-21;Intendente Alvear;Residencial;658;-5;118;-;1;5,1 hs;12;2;N/D;Sí;55;Oficina;s/d;Activo
100519;2001-10-08;Eduardo Castex;Residencial;179;65,2;297;0;0;0,0 hs;12;1;s/d;No;45;App;6380;Activo
100084;1997-06-01;Trenel;Resid.;281;5,8;350;1;1;3,7 hs;12;1;No;Sí;38;Oficina;-;Activo
100848;2007-12-06;Realicó;Residencial;-99;1,7;222;0;0;0,0 hs;12;0;No;No;60;Teléfono;6385;Activo
100192;2007-03-11;santa rosa;RESIDENCIAL ;279;-8,7;231;1;3;5,6 hs;12;0;N/D;No;999;Oficina;s/d;Activo
100169;06/02/2019;eduardo castex;RESIDENCIAL ;186;-41,4;86;2;0;0,0 hs;12;0;No;Sí;51;Teléfono;N/D;Activo
100101;2013-12-04;Realicó;RESIDENCIAL ;130;-10,9;149;1;3;7,9 hs;12;1;-;No;60;App;6300;Activo
100336;02/03/2003;santa rosa;Comercial;378;39,6;280;1;0;0,0 hs;12;2;-;No;53;App;N/D;Baja
100502;2009-03-30;Realicó;Comercial;234;-28,9;206;-;2;10,7 hs;12;4;Sí;Sí;52;App;N/D;Activo
100171;2001-07-10;SANTA ROSA;Rural;169;-21,2;300;2;5;26,7 hs;12;1;No;No;29;Oficina;N/D;Baja
100895;2025-11-01;Trenel;Comercial;196;-38,7;4;2;4;4,4 hs;12;0;Sí;Sí;59;Teléfono;;Activo
100606;22/05/2016;Trenel;Residencial;351;-1,8;119;0;5;2,8 hs;12;2;s/d;No;56;Web;6385;Activo
100398;2024-01-11;GENERAL PICO ;rural;253;N/D;26;0;3;14,2 hs;12;2;No;No;46;Teléfono;N/D;Baja
100581;14/10/2017;Realicó;RESIDENCIAL ;160;-22,9;102;0;2;11,3 hs;12;1;s/d;No;41;Teléfono;-;Activo
100152;2020-10-28;Trenel;Residencial;90;-14;65;1;3;1,6 hs;12;0;No;Sí;37;Web;s/d;Activo
100019;11/03/2007;Santa Rosa;Rural;174;71,4;231;0;1;4,8 hs;12;2;No;No;67;Web;;Activo
100304;03/03/1997;General Pico;Residencial;409;-12,8;353;1;2;3,0 hs;12;1;No;No;66;App;6380;Activo
100408;28/01/2015;Eduardo Castex;Comercial;223;12,6;135;0;2;1,2 hs;12;0;-;No;63;App;N/D;Baja
100273;07/05/2019;Santa Rosa;Residencial;153;24,5;83;1;1;2,4 hs;12;2;No;Sí;44;Oficina;N/D;Activo
100251;2008-04-04;Santa Rosa;Comercial;364;-25,7;218;1;3;12,5 hs;12;1;Sí;No;28;App;6380;Activo
100891;2022-05-21;GENERAL PICO ;RESIDENCIAL ;415;27,7;46;2;4;3,6 hs;12;1;Sí;Sí;56;Oficina;N/D;Activo
100458;10/05/2007;Realicó;Resid.;393;11,7;229;2;3;3,5 hs;12;0;N/D;No;61;Web;-;Activo
100968;2022-08-19;Trenel;residencial;135;-15,9;43;0;5;18,7 hs;12;0;No;No;66;Oficina;6200;Activo
100938;2020-02-01;SANTA ROSA;Comercial;151;-2,5;74;2;0;0,0 hs;12;3;-;No;66;Oficina;;Baja
100566;10/01/2007;Santa Rosa;residencial;74;19,3;233;0;2;5,6 hs;12;2;N/D;Sí;180;App;;Baja
100176;1997-06-01;general pico;Comercial;231;-5,7;350;2;3;14,6 hs;12;2;No;Sí;60;Teléfono;6300;Baja
100186;2020-05-01;Santa Rosa;Rural;127;-22,6;71;0;1;3,7 hs;12;1;N/D;Sí;57;Teléfono;N/D;Activo
100561;2020-10-28;Santa Rosa;Residencial;405;-64,7;65;2;1;4,8 hs;12;0;s/d;Sí;33;Web;;Activo
100842;07/01/2019;Realicó;RESIDENCIAL ;424;6,6;87;1;5;9,4 hs;12;0;No;No;34;Oficina;-;Activo
100843;2024-11-06;Intendente Alvear;Residencial;186;-6,1;16;0;3;14,0 hs;12;3;No;No;62;Oficina;N/D;Baja
100452;2018-02-11;E. Castex;Comercial;517;-0,6;98;0;3;11,5 hs;12;3;Sí;Sí;43;Teléfono;N/D;Activo
100449;07/03/2002;Eduardo Castex;Comercial;591;-0,3;292;0;5;4,3 hs;12;0;-;No;35;App;-;Activo
100869;25/07/2021;Eduardo Castex;Resid.;417;19,5;56;1;1;5,6 hs;12;1;s/d;No;45;Oficina;6380;Baja
100274;2011-04-19;Trenel;RESIDENCIAL ;230;-30,7;181;1;4;19,1 hs;12;2;No;No;53;Teléfono;6380;Baja
100573;2015-10-25;Intendente Alvear;Rural;143;12,1;126;0;1;5,8 hs;12;0;No;No;18;Oficina;s/d;Activo
100056;01/08/2014;Intendente Alvear;Residencial;-99;46,1;141;3;7;26,3 hs;12;0;-;Sí;59;App;N/D;Baja
100134;2022-07-20;Trenel;Comercial;243;-12,7;44;1;3;4,2 hs;12;1;No;No;68;App;N/D;Baja
100672;2012-02-13;General Pico;rural;219;-4,6;171;0;1;3,8 hs;12;1;Sí;No;58;App;;Activo
100339;28/01/2015;Eduardo Castex;RESIDENCIAL ;271;-25;135;1;4;19,7 hs;12;1;N/D;No;52;App;-;Baja
100236;2023-12-12;Eduardo Castex;residencial;203;-18,7;27;1;1;2,7 hs;12;0;No;No;76;Web;s/d;Baja
101181;31/05/2003;Santa Rosa;Resid.;138;0,3;277;0;2;9,3 hs;12;1;No;No;40;Oficina;N/D;Activo
100197;21/03/2005;Intendente Alvear;Residencial;304;15,3;255;N/D;4;16,8 hs;12;1;N/D;No;46;Oficina;N/D;Baja
100349;14/08/2023;Realicó;Residencial;435;N/D;31;1;3;17,0 hs;12;2;-;No;63;App;N/D;Baja
101007;1999-10-19;Trenel;Residencial;118;9,4;321;s/d;4;2,4 hs;12;4;N/D;No;56;App;N/D;Activo
100924;2017-03-18;Trenel;Residencial;566;4,9;109;2;1;3,4 hs;12;3;No;No;57;Web;N/D;Baja
100227;2009-09-26;General Pico;Comercial;138;;200;2;3;15,9 hs;12;3;s/d;No;46;Oficina;;Baja
101066;03/06/2008;Intendente Alvear;Comercial;78;32,7;216;1;9;35,3 hs;12;3;N/D;No;69;Teléfono;;Baja
100315;2003-09-28;Realicó;residencial;170;-38,7;273;1;1;1,3 hs;12;0;No;No;49;Teléfono;s/d;Activo
100490;1999-03-23;Intendente Alvear;residencial;-99;-24,4;328;1;3;7,6 hs;12;1;N/D;No;999;Teléfono;N/D;Activo
100284;2009-12-25;Santa Rosa;Residencial;336;-13,9;197;1;2;2,3 hs;12;2;Sí;Sí;68;Oficina;6380;Activo
100551;2022-12-17;Trenel;RESIDENCIAL ;;-10;39;1;4;19,1 hs;12;1;N/D;Sí;54;Oficina;s/d;Baja
100540;27/02/2015;Trenel;Residencial;272;s/d;134;1;4;17,1 hs;12;0;-;No;39;Web;s/d;Baja
100330;16/05/2023;E. Castex;Residencial;528;0,7;34;1;3;8,2 hs;12;0;Sí;Sí;39;Teléfono;-;Activo
100739;30/03/2009;Gral. Pico;RESIDENCIAL ;591;-27,5;206;2;0;0,0 hs;12;0;;No;47;Teléfono;s/d;Activo
101141;2012-12-09;E. Castex;Rural;363;-21,4;161;0;3;9,9 hs;12;0;s/d;No;57;Web;s/d;Activo
100680;2025-05-05;Eduardo Castex;Residencial;337;28,2;10;1;8;28,2 hs;12;1;-;No;42;Web;-;Baja
100239;2006-09-12;General Pico;Rural;128;4,2;237;2;1;1,2 hs;12;2;Sí;Sí;40;App;s/d;Activo
100801;13/09/2023;Realicó;Comercial;209;-37,5;30;2;1;5,1 hs;12;2;No;Sí;44;Web;6300;Baja
101034;2009-05-29;General Pico;Resid.;306;11,8;204;0;3;14,6 hs;12;2;No;No;36;App;s/d;Activo
100332;13/04/2012;Eduardo Castex;Residencial;184;19,5;169;1;3;3,7 hs;12;1;N/D;Sí;54;Oficina;;Activo
100577;2013-12-04;Trenel;rural;635;15,4;149;2;1;1,8 hs;12;1;s/d;Sí;30;Web;-;Activo
100982;11/12/2006;E. Castex;Residencial;151;18,5;234;1;2;6,0 hs;12;0;No;Sí;42;Web;N/D;Activo
101065;2008-07-03;Santa Rosa;Resid.;326;34,7;215;0;5;29,9 hs;12;2;;No;82;Teléfono;s/d;Activo
101050;2002-02-05;General Pico;Residencial;325;11;293;1;1;5,8 hs;12;1;No;Sí;57;Web;;Activo
100114;2024-11-06;Intendente Alvear;Residencial;209;70,5;16;2;2;3,0 hs;12;0;No;Sí;52;Oficina;-;Activo
100212;2017-05-17;Realicó;RESIDENCIAL ;70;-1,1;107;0;4;18,9 hs;12;2;No;Sí;19;App;-;Activo
100538;15/06/2000;Intendente Alvear;Resid.;154;-35,1;313;0;6;5,1 hs;12;3;N/D;No;43;App;s/d;Activo
100358;28/07/2009;Realicó;Residencial;111;-5,8;202;0;1;1,6 hs;12;2;Sí;Sí;53;Teléfono;s/d;Activo
100325;2020-11-27;Trenel;Comercial;448;N/D;64;0;5;10,7 hs;12;1;;No;52;Teléfono;;Baja
100523;2019-07-06;Trenel;Residencial;766;-19,8;81;0;3;10,6 hs;12;0;N/D;No;92;Oficina;-;Activo
100350;12/11/2023;General Pico;Rural;423;-21,4;28;1;3;2,7 hs;12;2;Sí;No;27;Oficina;s/d;Baja
101129;13/02/2012;Sta. Rosa;residencial;155;7,7;171;0;1;2,4 hs;12;3;;No;52;Oficina;-;Activo
100986;15/01/2006;Realicó;Comercial;230;-26,6;245;2;1;2,2 hs;12;0;No;Sí;61;App;s/d;Activo
100499;26/06/1998;Realicó;Residencial;184;16,8;337;1;3;9,9 hs;12;2;No;Sí;64;Teléfono;N/D;Activo
100792;2024-11-06;Realicó;residencial;309;30;16;0;3;16,5 hs;12;0;N/D;No;26;Oficina;-;Baja
100702;1999-11-18;Eduardo Castex;RESIDENCIAL ;180;-2,7;320;1;4;14,8 hs;12;19;No;Sí;50;Web;N/D;Activo
100713;2025-10-02;Intendente Alvear;Comercial;278;38,1;5;2;2;10,2 hs;12;1;Sí;Sí;37;Web;s/d;Activo
100813;2021-06-25;Intendente Alvear;rural;-99;-17,1;57;0;7;27,9 hs;12;5;s/d;No;48;Oficina;s/d;Baja
100413;16/04/2000;General Pico;residencial;341;-10,3;315;;0;0,0 hs;12;0;s/d;No;68;Web;s/d;Activo
100125;18/03/2017;general pico;Rural;446;18,8;109;1;3;13,5 hs;12;2;No;No;23;Oficina;s/d;Baja
101064;15/07/2023;General Pico;Resid.;343;-54,1;32;1;2;7,2 hs;12;0;No;No;50;App;6360;Activo
101124;2019-07-06;Realicó;RESIDENCIAL ;230;-4,9;81;1;2;1,8 hs;12;1;Sí;No;36;Oficina;N/D;Baja
100103;2008-01-05;Intendente Alvear;Resid.;338;-9,7;221;3;4;12,6 hs;12;2;N/D;Sí;79;App;-;Baja
100310;2000-10-13;Trenel;Residencial;284;7,2;309;0;2;11,0 hs;12;2;s/d;No;45;Oficina;-;Activo
100071;2016-08-20;Intendente Alvear;Residencial;206;28,5;116;0;1;4,5 hs;12;3;;No;40;Oficina;-;Activo
100505;21/06/2016;Eduardo Castex;Comercial;-99;9,6;118;2;3;14,0 hs;12;1;Sí;No;47;Oficina;-;Activo
100425;1997-06-01;Intendente Alvear;Resid.;-99;-19,5;350;-;1;4,7 hs;12;4;No;No;59;Teléfono;;Baja
100798;1999-04-22;Realicó;Comercial;478;-28,8;327;2;4;4,9 hs;12;2;Sí;No;42;Oficina;6385;Baja
101150;13/09/2000;Sta. Rosa;Residencial;444;-13,7;310;0;2;10,5 hs;12;1;No;No;29;App;6385;Activo
100610;2014-10-30;Trenel;Resid.;191;38,2;138;0;3;9,0 hs;12;1;No;No;54;App;;Activo
101001;2002-07-05;General Pico;Residencial;109;5,6;288;1;4;21,9 hs;12;1;;No;64;Teléfono;s/d;Baja
100129;2012-04-13;Intendente Alvear;Residencial;836;3,6;169;0;2;8,4 hs;12;0;;No;52;Oficina;6380;Activo
100441;16/05/2023;Trenel;Comercial;225;22,3;34;1;5;8,0 hs;12;2;No;No;56;Web;-;Baja
101187;21/10/2010;General Pico;Rural;473;s/d;187;0;0;0,0 hs;12;15;-;Sí;43;Web;-;Activo
101143;08/11/2018;Santa Rosa;Comercial;118;-46,8;89;0;2;8,5 hs;12;2;-;No;47;App;6385;Baja
100530;2017-12-13;Realicó;Comercial;;6;100;0;3;6,0 hs;12;0;Sí;Sí;180;Web;;Activo
100172;2002-09-03;Eduardo Castex;RURAL;299;-19,6;286;1;0;0,0 hs;12;1;No;Sí;45;Oficina;;Activo
100148;2022-12-17;Trenel;Rural;242;-31,9;39;0;3;17,1 hs;12;0;s/d;No;50;Web;s/d;Activo
100757;2008-06-03;General Pico;residencial;134;-10,4;216;2;2;8,1 hs;12;2;;Sí;51;Oficina;;Activo
100638;;Trenel;Residencial;487;12,8;163;2;2;5,4 hs;12;2;No;No;43;Web;6385;Activo
100317;09/08/2001;Santa Rosa;Comercial;352;7,1;299;1;0;0,0 hs;12;1;Sí;No;35;Web;-;Activo
101078;22/05/2016;Intendente Alvear;Residencial;434;2,9;119;0;3;16,5 hs;12;4;No;No;51;App;N/D;Baja
100405;2008-09-01;Trenel;Residencial;208;-17,4;213;0;2;3,5 hs;12;2;No;No;50;Web;s/d;Activo
100207;31/05/2020;Trenel;Resid.;207;23,4;70;2;3;15,9 hs;12;1;No;No;49;Web;-;Activo
101076;09/07/2007;Realicó;Residencial;238;-;227;1;1;3,6 hs;12;1;s/d;Sí;55;Oficina;s/d;Activo
101118;2019-06-06;Trenel;Comercial;216;-16,7;82;0;1;2,9 hs;12;2;N/D;No;51;Oficina;-;Baja
100391;2021-05-26;Realicó;Comercial;212;-3,5;58;1;2;3,3 hs;12;2;No;Sí;60;Oficina;N/D;Activo
100295;13/09/2000;Realicó;Residencial;140;6,3;310;0;2;10,6 hs;12;1;-;Sí;72;Web;N/D;Activo
100468;04/10/1996;Realicó;Residencial;461;18,7;358;0;3;8,3 hs;12;1;Sí;Sí;54;Web;-;Activo
100645;07/01/2019;Realicó;Residencial;322;25;87;0;0;0,0 hs;12;1;Sí;No;999;App;s/d;Activo
100439;31/08/2014;Realicó;Comercial;169;-14,5;140;0;3;10,5 hs;12;3;No;Sí;55;App;-;Activo
100124;2015-06-27;Eduardo Castex;Rural;593;-15,1;130;1;1;3,3 hs;12;2;;No;54;Teléfono;s/d;Activo
100432;11/06/2018;Eduardo Castex;Residencial;168;8,8;94;0;2;10,2 hs;12;1;s/d;Sí;26;Web;;Baja
